Camara,Tipo_sensor,Identity_ID,Zona_name,Gender,Age,Action,Track_ID,Time,Event_Audit,Gender_Audit,Age_Audit,Observation_A,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Exploracion 3,Female,0,Enter,c4850114-2f39-4f6a-8b62-6dae0589668a,"Feb 24, 2026 11:07:19 PM",Bien,Bien,Mal,,
3,Zona_permanencia,,Estanteria Principal,,,Enter,332d,11:07:41,Mal,,Mal,Evento no registrado,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Exploracion 3,Female,0,Exit,c4850114-2f39-4f6a-8b62-6dae0589668a,"Feb 24, 2026 11:07:59 PM",Bien,Bien,Mal,,
3,Zona_permanencia,,Estanteria Principal,,,Exit,332d,11:08:00,Mal,,Mal,Evento no registrado,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Caja,Female,0,Enter,0500da27-cd10-4283-b089-db776ce4fc3f,"Feb 24, 2026 11:08:30 PM",Bien,Bien,Mal,,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Caja,Female,0,Exit,0500da27-cd10-4283-b089-db776ce4fc3f,"Feb 24, 2026 11:08:36 PM",Bien,Bien,Mal,,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Exploracion 3,Female,0,Enter,4a477369-50f0-4f19-af89-a34605808f46,"Feb 24, 2026 11:08:53 PM",Bien,Bien,Mal,,
3,Zona_permanencia,02b7ca0f-0610-4d3f-98ba-2dfe473e6dd4,Estanteria Principal,Female,0,Enter,dd31eeee-4fed-4252-8e65-f9d8133c230a,"Feb 24, 2026 11:09:14 PM",Bien,Bien,Mal,,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Exploracion 3,Female,0,Exit,4a477369-50f0-4f19-af89-a34605808f46,"Feb 24, 2026 11:09:25 PM",Bien,Bien,Mal,,
3,Zona_permanencia,02b7ca0f-0610-4d3f-98ba-2dfe473e6dd4,Estanteria Principal,Female,0,Exit,dd31eeee-4fed-4252-8e65-f9d8133c230a,"Feb 24, 2026 11:09:30 PM",Bien,Bien,Mal,,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Exploracion 2,Male,0,Enter,d269f888-8f54-4029-8115-e0a1d30b34cd,"Feb 24, 2026 11:10:01 PM",Bien,Bien,Mal,,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Exploracion 2,Female,0,Enter,732ff5e4-9d77-43c7-8b97-95e6ae821886,"Feb 24, 2026 11:10:08 PM",Bien,Bien,Mal,,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Exploracion 2,Male,0,Exit,d269f888-8f54-4029-8115-e0a1d30b34cd,"Feb 24, 2026 11:10:08 PM",Bien,Bien,Mal,Oclusión genera cambio de ID,
